alias am_lat am_lat_std am_lon am_lon_std am_ele am_ele_std network stacode h_dist v_dist level lat lon ele elg
A0053 43.315180 0.000020 12.407280 0.000020 0.584 0.000 ING ATLO 0.0000 0.0000 0 43.315200 12.407300 0.584 NULL
A0053 43.315180 0.000020 12.407280 0.000020 0.584 0.000 IV ATLO 0.0055 0.0000 1 43.315160 12.407260 0.584 NULL
A0054 43.446550 0.000389 12.192933 0.000189 0.740 0.000 ING ATMC 0.0000 0.0000 0 43.446800 12.192800 0.740 0.755
A0054 43.446550 0.000389 12.192933 0.000189 0.740 0.000 UMB CEDR 0.0946 0.0000 1 43.446000 12.193200 0.740 0.710
A0054 43.446550 0.000389 12.192933 0.000189 0.740 0.000 IV ATMC 0.0056 0.0000 1 43.446850 12.192800 0.740 NULL
A0055 43.334195 0.000005 12.268005 0.000005 0.581 0.000 ING ATMI 0.0000 0.0000 0 43.334200 12.268000 0.581 NULL
A0055 43.334195 0.000005 12.268005 0.000005 0.581 0.000 IV ATMI 0.0014 0.0000 1 43.334190 12.268010 0.581 NULL
A0056 43.480700 0.000000 12.457000 0.000000 0.827 0.014 ING ATPC 0.0000 0.0000 0 43.480700 12.457000 0.810 NULL
A0056 43.480700 0.000000 12.457000 0.000000 0.827 0.014 BIN CAST 0.0000 0.0290 1 43.480700 12.457000 0.839 0.832
A0056 43.480700 0.000000 12.457000 0.000000 0.827 0.014 ABR CAST 0.0000 0.0290 1 43.480700 12.457000 0.839 0.832
A0056 43.480700 0.000000 12.457000 0.000000 0.827 0.014 UMB CAST 0.0000 0.0290 1 43.480700 12.457000 0.839 0.832
A0056 43.480700 0.000000 12.457000 0.000000 0.827 0.014 IV ATPC 0.0000 0.0000 1 43.480700 12.457000 0.810 NULL
A0057 43.449845 0.000845 12.401955 0.000255 0.697 0.003 ING ATPI 0.0000 0.0000 0 43.450700 12.402200 0.694 0.694
A0057 43.449845 0.000845 12.401955 0.000255 0.697 0.003 UMB PIET 0.1932 0.0060 1 43.449000 12.401700 0.700 0.692
A0057 43.449845 0.000845 12.401955 0.000255 0.697 0.003 UNKNOWN PIET 0.1932 0.0060 1 43.449000 12.401700 0.700 0.692
A0057 43.449845 0.000845 12.401955 0.000255 0.697 0.003 IV ATPI 0.0027 0.0000 1 43.450680 12.402220 0.694 NULL
A0058 43.423967 0.000047 12.686407 0.000005 0.896 0.001 ING ATSC 0.0000 0.0000 0 43.424000 12.686410 0.895 0.897
A0058 43.423967 0.000047 12.686407 0.000005 0.896 0.001 IV ATSC 0.0000 0.0000 1 43.424000 12.686410 0.895 NULL
A0058 43.423967 0.000047 12.686407 0.000005 0.896 0.001 TV BBB4 0.0111 0.0030 1 43.423900 12.686400 0.898 NULL
